Date,Close,High,Low,Open,SMA_20,SMA_50,SMA_200,StdDev_20,Upper,Lower,RSI,EMA_12,EMA_26,MACD,Signal,MACD_Histogram
2023-03-28,11716.080078125,11752.759765625,11635.0302734375,11752.759765625,11574.575048828125,11591.5450390625,11385.04501953125,205.32054912773347,11985.21614708359,11163.933950572658,53.52645323504899,11678.5991706643,11612.520149281012,66.07902138328791,40.62431738490825,25.454703998379657
2023-03-29,11926.240234375,11941.599609375,11823.349609375,11855.58984375,11601.913037109374,11608.16763671875,11387.976123046876,214.18551052677165,12030.284058162917,11173.542016055831,59.15229564214677,11716.697795850561,11635.758674102788,80.93912174777324,48.68727825748125,32.25184349029199
2023-03-30,12013.4697265625,12044.7900390625,11953.3701171875,12010.4501953125,11629.4375,11629.2968359375,11393.997319335938,230.16675355591886,12089.771007111838,11169.103992888162,61.249114987185344,11762.355015960089,11663.737270581285,98.6177453788041,58.67337168174583,39.944373697058275
2023-03-31,12221.91015625,12227.9296875,12030.4404296875,12031.5400390625,11656.08251953125,11656.6896484375,11400.965122070313,265.55144279729,12187.18540512583,11124.97963393667,65.77073657055615,11833.055806773922,11705.08341026045,127.97239651347263,72.53317664809119,55.439219865381446
2023-04-03,12189.4501953125,12196.33984375,12086.51953125,12146.08984375,11681.768017578124,11677.67005859375,11406.41662109375,291.1622411067478,12264.092499791619,11099.44353536463,64.50838742717075,11887.885712702933,11740.962431375418,146.92328132751572,87.4111975839761,59.51208374353962
2023-04-04,12126.330078125,12224.6796875,12081.8095703125,12208.490234375,11711.568017578125,11692.90845703125,11413.8177734375,305.01723320180474,12321.602483981735,11101.533551174516,62.01578222498251,11924.569461229405,11769.508182986498,155.06127824290706,100.9412137157623,54.12006452714476
2023-04-05,11996.8603515625,12086.75,11931.849609375,12081.759765625,11732.61103515625,11706.1602734375,11419.810327148438,309.65444196257215,12351.919919081394,11113.302151231104,57.138775460829585,11935.691136665266,11786.349084362499,149.34205230276712,110.62138143316326,38.72067086960385
2023-04-06,12087.9599609375,12098.5,11898.3603515625,11939.080078125,11770.091552734375,11721.652265625,11424.903627929687,304.74895607542516,12379.589464885225,11160.593640583525,59.549292581828674,11959.117109630226,11808.690630775462,150.42647885476435,118.58240091748348,31.844077937280872
2023-04-10,12084.3603515625,12084.9501953125,11924.2001953125,11975.1298828125,11817.365087890625,11733.09126953125,11430.060029296876,273.4015640964746,12364.168216083573,11270.561959697676,59.40712266580682,11978.38530069673,11829.11061009302,149.27469060371004,124.7208588547288,24.55383174898124
2023-04-11,12031.8798828125,12091.26953125,12011.400390625,12080.240234375,11859.51708984375,11741.29466796875,11434.0584765625,233.47001149733194,12326.457112838414,11392.577066849086,57.26070227724392,11986.615236406848,11844.130556220389,142.48468018645872,128.2736231210748,14.211057065383926
2023-04-12,11929.33984375,12134.5,11916.5400390625,12110.8701171875,11884.5765625,11752.0052734375,11435.667075195313,210.50004669016434,12305.57665588033,11463.576469119671,53.21502709918315,11977.803637536563,11850.442355296656,127.36128223990636,128.09115494484112,-0.7298727049347633
2023-04-13,12166.26953125,12178.7998046875,11995.9404296875,11997.419921875,11921.187548828126,11763.63966796875,11438.875673828124,190.76913661535423,12302.725822058834,11539.649275597418,60.21045109979132,12006.798390415552,11873.83696092283,132.96142949272144,129.0652098544172,3.8962196383042453
2023-04-14,12123.4697265625,12205.7197265625,12026.5498046875,12117.91015625,11941.497021484374,11769.78265625,11443.585322265624,189.53611169525752,12320.569244874889,11562.42479809386,58.50855127306268,12024.747826745852,11892.328276896138,132.4195498497138,129.73607785347653,2.683471996237273
2023-04-17,12157.7197265625,12159.01953125,12064.099609375,12108.23046875,11967.85751953125,11768.92064453125,11448.48447265625,180.4521343201587,12328.761788171567,11606.953250890932,59.495221108048,12045.20504210226,11911.986902797351,133.21813930490862,130.43249014376295,2.7856491611456704
2023-04-18,12153.41015625,12245.4296875,12110.23046875,12234.5595703125,11991.751025390626,11771.84984375,11454.107822265625,171.10457897744305,12333.960183345513,11649.541867435739,59.3041230742506,12061.851982740372,11929.870106756805,131.98187598356708,130.74236731172377,1.2395086718433106
2023-04-19,12157.23046875,12191.099609375,12060.169921875,12063.6796875,12006.60703125,11777.24544921875,11459.2547265625,171.96984481077797,12350.546720871556,11662.667341628443,59.42852997802253,12076.525595972622,11946.711615052598,129.81398092002382,130.55669003338377,-0.7427091133599504
2023-04-20,12059.5595703125,12155.9599609375,12011.9501953125,12039.080078125,12026.08701171875,11776.16083984375,11462.941323242187,152.82984201951774,12331.746695757785,11720.427327679714,54.814891056978254,12073.915438178758,11955.070722849627,118.84471532913085,128.2142950925332,-9.369579763402356
2023-04-21,12072.4599609375,12097.150390625,11986.8203125,12046.0302734375,12040.339990234375,11779.3996484375,11466.494375,142.32994488737788,12324.99988000913,11755.68010045962,55.30840208173963,12073.69151860318,11963.766221967247,109.92529663593268,124.5564954012131,-14.631198765280416
2023-04-24,12037.2001953125,12103.580078125,11960.2998046875,12053.4697265625,12051.002001953126,11784.35205078125,11468.573627929687,132.94526423683547,12316.892530426796,11785.111473479456,53.58569424032846,12068.077468866153,11969.205775548377,98.87169331777659,119.4195349845258,-20.547841666749207
2023-04-25,11799.16015625,11990.4599609375,11798.76953125,11968.8095703125,12052.518017578124,11785.9728515625,11469.392880859376,129.69139240902493,12311.900802396174,11793.135232760074,43.69164271412497,12026.705574617514,11956.609803748495,70.09577086901845,109.55478216142433,-39.459011292405876
2023-04-26,11854.349609375,11967.990234375,11833.0703125,11913.23046875,12059.431494140625,11785.22404296875,11471.801630859374,113.48582006890396,12286.403134278433,11832.459854002816,46.17314714768138,12000.189272272512,11949.034974535643,51.1542977368681,97.87468527651309,-46.72038753964499
2023-04-27,12142.240234375,12154.009765625,11950.919921875,11972.150390625,12070.231494140626,11788.86583984375,11476.1891796875,110.37881460506163,12290.98912335075,11849.473864930502,56.85464898885794,12022.043266442124,11963.346475264483,58.69679117764099,90.03910645673868,-31.34231527909769
2023-04-28,12226.580078125,12227.7197265625,12082.5703125,12117.5400390625,12080.88701171875,11791.98564453125,11481.0841796875,114.80838771781212,12310.503787154375,11851.270236283126,59.39670195577389,12053.51046823949,11982.84526066156,70.66520757793114,86.16432668097717,-15.499119103046027
